Akryum,2600,419,128,17
HerringtonDarkholme,599,928,120,152
Jinjiang,5800,12,72,0
Justineo,2200,496,108,102
Kingwl,665,288,136,247
bencodezen,256,125,110,36
blake-newman,774,113,53,23
chrisvfritz,3100,194,148,3
defcc,758,567,17,40
egoist,6800,2800,680,37
fnlctrl,570,277,20,38
gebilaoxiong,381,332,18,31
gustojs,102,264,16,21
hootlex,727,492,72,36
javoski,234,593,30,27
jkzing,293,592,76,57
kazupon,1800,2700,199,384
kiaking,76,206,8,67
ktsn,1200,613,171,39
liximomo,175,867,67,42
mysticatea,590,329,110,41
nickmessing,228,23,28,7
octref,825,1000,53,60
ota-meshi,48,36,51,19
phanan,1600,600,31,75
posva,1800,705,200,42
sdras,11900,316,79,137
shentao,634,77,49,4
simplesmiler,333,185,35,22
sodatea,830,895,66,94
ulivz,754,1400,165,52
yyx990803,54500,800,153,93
znck,687,241,112,21
Fishrock123,504,913,137,16
LinusU,526,831,715,123
blakeembrey,1200,2000,228,113
dead-horse,3900,623,120,85
dougwilson,2600,109,31,12
fed135,129,1900,76,360
fengmk2,7300,1300,208,342
gireeshpunathil,105,29,36,49
hacksparrow,394,194,267,11
jonathanong,1800,126,68,136
juliangruber,1200,3000,754,148
mikeal,4000,279,413,99
mikermcneil,1900,251,204,202
niftylettuce,914,2400,500,6
ritch,226,63,62,15
rlidwka,353,181,112,5
scottcorgan,315,725,193,47
tj,42000,2200,288,45
wesleytodd,257,365,169,29
